code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
603661,恒林股份,家居用品,0612D3,watch,active,0612D3_watch_scan_20260611_233915.csv,36.17,33.41,35.63,36.28,1,93.0,0612D3｜watch｜active｜D1较早封板；D1炸板1次；D2量比温和1.21；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
000558,天府文旅,旅游及景,0612D3,watch,active,0612D3_watch_scan_20260611_233915.csv,3.91,3.54,3.85,3.92,2,87.0,0612D3｜watch｜active｜D1未炸板；D2量比略高1.71；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002256,兆新股份,电力,0612D3,watch,active,0612D3_watch_scan_20260611_233915.csv,4.20,3.97,4.14,4.21,3,82.0,0612D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.12在2-3倍，需其他条件补强；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600981,苏豪汇鸿,贸易Ⅱ,0612D3,watch,active,0612D3_watch_scan_20260611_233915.csv,2.78,2.46,2.74,2.79,4,76.0,0612D3｜watch｜active｜D1炸板1次；D2量比2.02在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002125,湘潭电化,电池,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,18.32,17.07,18.05,18.37,5,83.0,0612D3｜watch｜radar｜D1未炸板；D2量比温和1.14；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额超过15亿降权；换手适中
002119,康强电子,半导体,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,31.20,26.08,30.73,31.29,6,78.0,0612D3｜watch｜radar｜D1较早封板；D1炸板2次；封板资金较足；D2量比温和1.06；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过15亿降权；换手适中；D2高强度延续，不直接奖励进active
600178,东安动力,汽车零部,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,10.57,8.74,10.41,10.60,7,76.0,0612D3｜watch｜radar｜D1未炸板；D2量比略高1.38；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
603687,大胜达,包装印刷,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,19.00,17.44,18.71,19.06,8,75.0,0612D3｜watch｜radar｜D1尾盘封板强降权；D1炸板1次；封板资金较足；D2量比温和0.95；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
603375,盛景微,半导体,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,50.90,45.46,50.14,51.05,9,73.0,0612D3｜watch｜radar｜D1尾盘封板强降权；D1未炸板；封板资金较足；D2量比略高1.46；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；中高价50谨慎；成交额可跟踪；换手适中
600665,天地源,房地产开,0612D3,watch,radar,0612D3_watch_scan_20260611_233915.csv,4.07,3.38,4.01,4.08,10,70.0,0612D3｜watch｜radar｜D1炸板2次；D2量比温和0.57；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；换手适中；D2高强度延续，不直接奖励进active
